house_number,plant_name,planting_date,date,time,indoor_temperature,indoor_humidity,outdoor_temperature,outdoor_humidity,wind_direction,wind_direction,wind_speed,wind_speed,inner_left_window_top_opening,inner_left_window_bottom_opening,inner_right_window_top_opening,inner_right_window_bottom_opening,outer_left_window_top_opening,outer_left_window_bottom_opening,outer_right_window_top_opening,outer_right_window_bottom_opening,temperature,humidity,solar_irradiance,solar_time,rain_per_hour,snow_per_hour
,,,2025-06-10,10:05:10,35.2,44.5,,,,25,,1.35,,,,,,,,,26.11,64.36,2.05,0.5,0.0,0.0
,,,2025-06-10,10:10:08,35.8,41.0,,,,26,,1.45,,,,,,,,,26.21,63.71,2.1,0.52,0.0,0.0
,,,2025-06-10,10:15:06,35.7,40.3,,,,26,,1.59,,,,,,,,,26.28,63.06,2.16,0.54,0.0,0.0
,,,2025-06-10,10:20:05,36.8,39.9,,,,26,,1.76,,,,,,,,,26.34,62.41,2.23,0.57,0.0,0.0
,,,2025-06-10,10:25:03,37.0,39.0,,,,27,,1.95,,,,,,,,,26.39,61.77,2.31,0.61,0.0,0.0
,,,2025-06-10,10:30:01,38.5,37.0,,,,27,,2.15,,,,,,,,,26.43,61.14,2.38,0.65,0.0,0.0
,,,2025-06-10,10:35:00,37.1,37.9,,,,27,,2.35,,,,,,,,,26.47,60.53,2.46,0.68,0.0,0.0
,,,2025-06-10,10:40:08,36.3,38.7,,,,28,,2.54,,,,,,,,,26.49,59.95,2.53,0.72,0.0,0.0
,,,2025-06-10,10:45:07,36.8,38.9,,,,28,,2.71,,,,,,,,,26.52,59.4,2.6,0.75,0.0,0.0
,,,2025-06-10,10:50:05,37.4,37.9,,,,28,,2.85,,,,,,,,,26.54,58.89,2.65,0.78,0.0,0.0
,,,2025-06-10,10:55:03,37.8,37.3,,,,29,,2.95,,,,,,,,,26.57,58.42,2.69,0.79,0.0,0.0
,,,2025-06-10,11:00:02,37.4,36.6,,,,29,,3.0,,,,,,,,,26.6,58.0,2.72,0.8,0.0,0.0
,,,2025-06-10,11:05:00,35.9,38.7,,,,29,,3.01,,,,,,,,,26.64,57.63,2.74,0.8,0.0,0.0
,,,2025-06-10,11:10:09,37.1,38.5,,,,29,,3.0,,,,,,,,,26.68,57.32,2.74,0.8,0.0,0.0
,,,2025-06-10,11:15:07,38.9,35.2,,,,30,,2.97,,,,,,,,,26.73,57.06,2.75,0.8,0.0,0.0
,,,2025-06-10,11:20:06,38.8,34.3,,,,30,,2.93,,,,,,,,,26.78,56.86,2.75,0.79,0.0,0.0
,,,2025-06-10,11:25:04,36.7,35.6,,,,30,,2.88,,,,,,,,,26.83,56.7,2.74,0.78,0.0,0.0
,,,2025-06-10,11:30:02,36.5,36.9,,,,30,,2.82,,,,,,,,,26.88,56.6,2.73,0.78,0.0,0.0
,,,2025-06-10,11:35:01,36.8,36.7,,,,31,,2.77,,,,,,,,,26.93,56.55,2.72,0.77,0.0,0.0
,,,2025-06-10,11:40:10,37.8,35.5,,,,31,,2.72,,,,,,,,,26.97,56.54,2.71,0.76,0.0,0.0
,,,2025-06-10,11:45:08,38.3,34.1,,,,31,,2.69,,,,,,,,,27.02,56.59,2.69,0.74,0.0,0.0
,,,2025-06-10,11:50:06,37.7,35.9,,,,32,,2.67,,,,,,,,,27.05,56.68,2.67,0.73,0.0,0.0
,,,2025-06-10,11:55:04,38.4,35.3,,,,32,,2.67,,,,,,,,,27.08,56.82,2.65,0.72,0.0,0.0
,,,2025-06-10,12:00:03,38.4,35.1,,,,32,,2.7,,,,,,,,,27.1,57.0,2.63,0.7,0.0,0.0
,,,2025-06-10,12:05:01,36.4,37.4,,,,32,,2.76,,,,,,,,,27.11,57.23,2.6,0.68,0.0,0.0
,,,2025-06-10,12:10:10,35.0,40.0,,,,32,,2.86,,,,,,,,,27.11,57.49,2.57,0.65,0.0,0.0
,,,2025-06-10,12:15:08,34.2,41.9,,,,32,,2.99,,,,,,,,,27.1,57.76,2.53,0.62,0.0,0.0
,,,2025-06-10,12:20:07,34.6,42.9,,,,32,,3.13,,,,,,,,,27.09,58.05,2.48,0.58,0.0,0.0
,,,2025-06-10,12:25:05,34.9,40.6,,,,32,,3.28,,,,,,,,,27.08,58.33,2.43,0.53,0.0,0.0
,,,2025-06-10,12:30:03,35.8,40.4,,,,32,,3.45,,,,,,,,,27.06,58.58,2.37,0.49,0.0,0.0
,,,2025-06-10,12:35:01,38.0,37.4,,,,32,,3.6,,,,,,,,,27.04,58.81,2.32,0.45,0.0,0.0
,,,2025-06-10,12:40:00,37.3,36.3,,,,32,,3.75,,,,,,,,,27.03,58.99,2.27,0.41,0.0,0.0
,,,2025-06-10,12:45:09,36.5,38.7,,,,32,,3.88,,,,,,,,,27.01,59.11,2.22,0.37,0.0,0.0
,,,2025-06-10,12:50:07,37.3,38.6,,,,32,,3.99,,,,,,,,,27.0,59.16,2.18,0.34,0.0,0.0
,,,2025-06-10,12:55:05,38.3,36.9,,,,32,,4.06,,,,,,,,,27.0,59.13,2.14,0.32,0.0,0.0
,,,2025-06-10,13:00:03,38.6,35.5,,,,32,,4.1,,,,,,,,,27.0,59.0,2.12,0.3,0.0,0.0
,,,2025-06-10,13:05:02,38.6,37.0,,,,32,,4.1,,,,,,,,,27.01,58.77,2.12,0.3,0.0,0.0
,,,2025-06-10,13:10:00,37.9,37.5,,,,32,,4.07,,,,,,,,,27.03,58.44,2.16,0.31,0.0,0.0
,,,2025-06-10,13:15:09,37.8,38.0,,,,32,,4.02,,,,,,,,,27.05,58.05,2.23,0.34,0.0,0.0
,,,2025-06-10,13:20:07,37.6,38.4,,,,32,,3.95,,,,,,,,,27.08,57.62,2.32,0.38,0.0,0.0
,,,2025-06-10,13:25:06,38.0,38.4,,,,32,,3.87,,,,,,,,,27.1,57.15,2.43,0.43,0.0,0.0
,,,2025-06-10,13:30:04,37.5,37.4,,,,32,,3.78,,,,,,,,,27.13,56.69,2.55,0.48,0.0,0.0
,,,2025-06-10,13:35:02,37.7,39.1,,,,32,,3.69,,,,,,,,,27.15,56.24,2.66,0.54,0.0,0.0
,,,2025-06-10,13:40:00,37.0,38.7,,,,32,,3.61,,,,,,,,,27.16,55.83,2.77,0.59,0.0,0.0
,,,2025-06-10,13:45:09,37.3,39.4,,,,32,,3.53,,,,,,,,,27.16,55.48,2.86,0.63,0.0,0.0
,,,2025-06-10,13:50:07,38.3,36.6,,,,32,,3.47,,,,,,,,,27.16,55.21,2.94,0.67,0.0,0.0
,,,2025-06-10,13:55:06,38.1,38.1,,,,32,,3.42,,,,,,,,,27.14,55.04,2.98,0.69,0.0,0.0
,,,2025-06-10,14:00:04,39.2,36.2,,,,32,,3.4,,,,,,,,,27.1,55.0,2.98,0.7,0.0,0.0
,,,2025-06-10,14:05:02,39.7,34.3,,,,32,,3.4,,,,,,,,,27.05,55.09,2.95,0.7,0.0,0.0
,,,2025-06-10,14:10:00,39.3,34.8,,,,32,,3.43,,,,,,,,,26.98,55.3,2.9,0.68,0.0,0.0
,,,2025-06-10,14:15:09,39.7,35.3,,,,32,,3.47,,,,,,,,,26.91,55.6,2.83,0.67,0.0,0.0
,,,2025-06-10,14:20:08,39.8,34.0,,,,32,,3.53,,,,,,,,,26.83,55.97,2.75,0.65,0.0,0.0
,,,2025-06-10,14:25:06,37.8,36.3,,,,32,,3.59,,,,,,,,,26.75,56.37,2.66,0.62,0.0,0.0
,,,2025-06-10,14:30:04,36.2,39.3,,,,32,,3.66,,,,,,,,,26.67,56.79,2.57,0.6,0.0,0.0
,,,2025-06-10,14:35:03,34.7,43.3,,,,32,,3.72,,,,,,,,,26.6,57.18,2.47,0.57,0.0,0.0
,,,2025-06-10,14:40:01,35.5,40.7,,,,32,,3.79,,,,,,,,,26.54,57.54,2.38,0.55,0.0,0.0
,,,2025-06-10,14:45:10,36.9,38.9,,,,32,,3.84,,,,,,,,,26.5,57.83,2.29,0.53,0.0,0.0
,,,2025-06-10,14:50:08,35.5,40.1,,,,32,,3.88,,,,,,,,,26.47,58.02,2.22,0.51,0.0,0.0
,,,2025-06-10,14:55:06,34.9,42.5,,,,32,,3.9,,,,,,,,,26.47,58.08,2.17,0.5,0.0,0.0
,,,2025-06-10,15:00:05,36.2,39.4,,,,32,,3.9,,,,,,,,,26.5,58.0,2.13,0.5,0.0,0.0
,,,2025-06-10,15:05:03,36.8,37.6,,,,32,,3.85,,,,,,,,,26.56,57.75,2.11,0.51,0.0,0.0
,,,2025-06-10,15:10:01,37.8,36.5,,,,32,,3.74,,,,,,,,,26.64,57.36,2.11,0.52,0.0,0.0
,,,2025-06-10,15:15:00,37.2,37.2,,,,31,,3.58,,,,,,,,,26.74,56.86,2.11,0.54,0.0,0.0
,,,2025-06-10,15:20:08,37.6,36.3,,,,31,,3.39,,,,,,,,,26.86,56.28,2.12,0.56,0.0,0.0
,,,2025-06-10,15:25:07,37.8,36.3,,,,31,,3.17,,,,,,,,,26.99,55.66,2.13,0.59,0.0,0.0
,,,2025-06-10,15:30:05,36.2,37.5,,,,30,,2.95,,,,,,,,,27.11,55.04,2.14,0.62,0.0,0.0
,,,2025-06-10,15:35:03,35.0,40.3,,,,30,,2.74,,,,,,,,,27.24,54.44,2.16,0.65,0.0,0.0
,,,2025-06-10,15:40:12,35.6,40.6,,,,30,,2.55,,,,,,,,,27.35,53.9,2.17,0.67,0.0,0.0
,,,2025-06-10,15:45:00,36.7,38.6,,,,30,,2.4,,,,,,,,,27.45,53.45,2.17,0.69,0.0,0.0
,,,2025-06-10,15:50:09,36.0,36.8,,,,29,,2.3,,,,,,,,,27.53,53.13,2.16,0.7,0.0,0.0
