# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202507120500 181   0  0.2  -9 -9.0   -9 1008.5 1012.4 -9  -9.0  19.4  15.6  79.0  17.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   0   -9 -         -9  -9  -9  4981 -9.0 -9.00 -9  22.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507120600 181   0  0.1  -9 -9.0   -9 1008.5 1012.4  1   0.2  19.9  16.7  82.0  19.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        5   0   -9 -         -9  -9  -9  3963  0.2  0.06 -9  22.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507120700 181   0  0.1  -9 -9.0   -9 1008.3 1012.2 -9  -9.0  23.2  16.9  68.0  19.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        7   0   -9 -         -9  -9  -9  4385  1.0  0.65 -9  23.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507120800 181   5  2.8  -9 -9.0   -9 1008.0 1011.9 -9  -9.0  24.4  17.8  67.0  20.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        5   0   -9 -         -9  -9  -9  5000  1.0  1.12 -9  28.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507120900 181   5  3.6  -9 -9.0   -9 1007.7 1011.5  7  -0.9  26.0  18.1  62.0  20.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        4   0   -9 -         -9  -9  -9  5000  1.0  1.91 -9  34.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507121000 181  16  2.5  -9 -9.0   -9 1007.4 1011.2 -9  -9.0  28.3  16.8  50.0  19.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        4   0   -9 -         -9  -9  -9  5000  1.0  2.68 -9  39.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507121100 181  18  3.5  -9 -9.0   -9 1007.0 1010.8 -9  -9.0  29.8  19.4  54.0  22.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        6   0   -9 -         -9  -9  -9  5000  1.0  3.18 -9  43.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507121200 181  18  3.5  -9 -9.0   -9 1006.4 1010.2  7  -1.3  29.8  17.6  48.0  20.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        5   0   -9 -         -9  -9  -9  5000  1.0  3.15 -9  42.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507121300 181  14  3.3  -9 -9.0   -9 1005.6 1009.3 -9  -9.0  31.7  19.3  48.0  22.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        6   0   -9 -         -9  -9  -9  5000  1.0  3.47 -9  46.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507121400 181  14  3.2  -9 -9.0   -9 1005.1 1008.8 -9  -9.0  31.7  19.3  48.0  22.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  3.60 -9  46.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
