# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202411120300 236   0  0.0  -9 -9.0   -9 1018.4 1020.0  5  -0.3   9.9   9.7  99.0  12.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   8   36 -         -9  -9  -9   264 -9.0 -9.00 -9  10.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411120400 236   0  0.1  -9 -9.0   -9 1018.4 1020.0 -9  -9.0  10.0   9.8  99.0  12.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   9   28 -         -9  -9  -9   306 -9.0 -9.00 -9  10.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411120500 236   0  0.3  -9 -9.0   -9 1018.3 1019.9 -9  -9.0  10.5  10.3  99.0  12.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10   34 -         -9  -9  -9   257 -9.0 -9.00 -9  10.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411120600 236   0  0.0  -9 -9.0   -9 1018.2 1019.8  7  -0.2   9.8   9.7 100.0  12.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   7   34 -         -9  -9  -9   183 -9.0 -9.00 -9  10.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411120700 236   0  0.2  -9 -9.0   -9 1018.6 1020.2 -9  -9.0  10.1  10.0 100.0  12.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   9   32 -         -9  -9  -9   200 -9.0 -9.00 -9  10.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411120800 236   0  0.0  -9 -9.0   -9 1018.8 1020.4 -9  -9.0  10.4  10.2  99.0  12.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        7   7   32 -         -9  -9  -9   256  0.0 -9.00 -9  11.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411120900 236   0  0.2  -9 -9.0   -9 1019.5 1021.1  2   1.3  11.7  10.9  95.0  13.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9   196  0.7 -9.00 -9  16.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411121000 236  16  0.5  -9 -9.0   -9 1019.6 1021.2 -9  -9.0  14.4  11.7  84.0  13.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9   385  1.0 -9.00 -9  23.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411121100 236  29  0.8  -9 -9.0   -9 1019.4 1021.0 -9  -9.0  17.7   7.4  51.0  10.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  2234  1.0 -9.00 -9  27.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411121200 236  32  1.1  -9 -9.0   -9 1018.8 1020.4  8  -0.7  19.1   4.4  38.0   8.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  5000  1.0 -9.00 -9  29.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411121300 236  32  1.2  -9 -9.0   -9 1017.9 1019.5 -9  -9.0  19.9   4.3  36.0   8.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4984  1.0 -9.00 -9  30.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411121400 236  29  1.3  -9 -9.0   -9 1017.5 1019.1 -9  -9.0  20.4   5.5  38.0   9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4854  1.0 -9.00 -9  30.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411121500 236  29  1.4  -9 -9.0   -9 1017.5 1019.1  6  -1.3  20.4   5.9  39.0   9.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4749  1.0 -9.00 -9  27.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411121600 236  29  0.9  -9 -9.0   -9 1017.6 1019.2 -9  -9.0  19.7   6.4  42.0   9.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4402  1.0 -9.00 -9  20.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411121700 236  34  0.7  -9 -9.0   -9 1017.8 1019.4 -9  -9.0  17.9   7.0  49.0  10.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4687  0.8 -9.00 -9  15.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411121800 236  32  1.2  -9 -9.0   -9 1018.3 1019.9  2   0.8  16.0   7.4  57.0  10.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3734  0.0 -9.00 -9  12.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411121900 236  34  1.1  -9 -9.0   -9 1019.1 1020.7 -9  -9.0  14.6   8.5  67.0  11.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2223 -9.0 -9.00 -9  11.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411122000 236   0  0.2  -9 -9.0   -9 1019.6 1021.2 -9  -9.0  12.2   8.4  78.0  11.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1776 -9.0 -9.00 -9   9.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
