#START7777
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202409121100 236  11  0.6  -9 -9.0   -9 1014.4 1015.9 -9  -9.0  29.4  24.9  77.0  31.5   -9.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   6    4 -         -9  -9  -9  4579  0.1 -9.00 -9  34.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409121200 236  18  0.5  -9 -9.0   -9 1013.9 1015.4  7  -0.9  30.2  25.7  77.0  33.0   -9.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   8    6 -         -9  -9  -9  4405  0.0 -9.00 -9  33.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409121300 236  29  1.2  -9 -9.0   -9 1013.4 1014.9 -9  -9.0  28.0  25.2  85.0  32.1    0.8    0.8    0.8   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   5    7 -         -9  -9  -9  2323  0.0 -9.00 -9  30.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409121400 236  36  1.3  -9 -9.0   -9 1012.8 1014.3 -9  -9.0  27.8  25.6  88.0  32.8    0.0    0.8    0.8   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   3   65 -         -9  -9  -9  3264  0.0 -9.00 -9  31.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409121500 236  11  1.2  -9 -9.0   -9 1012.8 1014.3  6  -1.1  27.0  25.3  91.0  32.2    0.7    1.5    1.5   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   2   18 -         -9  -9  -9  1876  0.0 -9.00 -9  29.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409121600 236  32  0.6  -9 -9.0   -9 1012.5 1014.0 -9  -9.0  27.0  25.9  94.0  33.4    0.2    1.7    1.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   2   29 -         -9  -9  -9  3438  0.0 -9.00 -9  31.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409121700 236   0  0.4  -9 -9.0   -9 1012.4 1013.9 -9  -9.0  26.9  24.9  89.0  31.5   -9.0    1.7    1.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   3   62 -         -9  -9  -9  5000  0.1 -9.00 -9  29.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409121800 236   5  1.0  -9 -9.0   -9 1012.5 1014.0  5  -0.3  26.6  24.8  90.0  31.3   -9.0    1.7    1.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   6   29 -         -9  -9  -9  5000  0.0 -9.00 -9  28.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409121900 236   0  0.2  -9 -9.0   -9 1012.4 1013.9 -9  -9.0  25.9  24.8  94.0  31.3   -9.0    1.7    1.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   1   20 -         -9  -9  -9  4843  0.0 -9.00 -9  27.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409122000 236  34  0.5  -9 -9.0   -9 1012.6 1014.1 -9  -9.0  25.6  25.2  98.0  32.1   -9.0    1.7    1.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   0   -9 -         -9  -9  -9  4238 -9.0 -9.00 -9  26.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409122100 236   0  0.1  -9 -9.0   -9 1012.8 1014.3  3   0.3  25.4  25.0  98.0  31.7   -9.0    1.7    1.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        7   0   -9 -         -9  -9  -9  2874 -9.0 -9.00 -9  26.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409122200 236   0  0.2  -9 -9.0   -9 1012.6 1014.1 -9  -9.0  25.0  24.8  99.0  31.3   -9.0    1.7    1.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        7   1   76 -         -9  -9  -9  1775 -9.0 -9.00 -9  25.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409122300 236   0  0.0  -9 -9.0   -9 1012.3 1013.8 -9  -9.0  24.8  24.6  99.0  30.9   -9.0    1.7    1.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        7   0   -9 -         -9  -9  -9  2065 -9.0 -9.00 -9  25.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409130000 236   0  0.3  -9 -9.0   -9 1011.6 1013.1  7  -1.2  24.7  24.5  99.0  30.7   -9.0    1.7    1.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   1   13 -         -9  -9  -9  2021 -9.0 -9.00 -9  25.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
